dataset_id,domain_id_1,domain_id_2,count
1,Disease,Disease,1933917
1,Disease,Device,20045
1,Disease,Drug,4139944
1,Disease,PopulationOfIndividualOrganisms,14297
1,Disease,PopulationOfIndividualOrganisms,16641
1,Disease,QuantityValue,168514
1,Disease,ActivityAndBehavior,442601
1,Disease,Procedure,2252358
1,Disease,PopulationOfIndividualOrganisms,21300
1,Disease,Phenomenon,115
1,Device,Device,383
1,Device,Drug,21921
1,Device,PopulationOfIndividualOrganisms,224
1,Device,PopulationOfIndividualOrganisms,284
1,Device,QuantityValue,929
1,Device,ActivityAndBehavior,3465
1,Device,Procedure,14781
1,Device,PopulationOfIndividualOrganisms,252
1,Drug,Drug,2441654
1,Drug,PopulationOfIndividualOrganisms,14079
1,Drug,PopulationOfIndividualOrganisms,16929
1,Drug,QuantityValue,178208
1,Drug,ActivityAndBehavior,474720
1,Drug,Procedure,2520639
1,Drug,PopulationOfIndividualOrganisms,21492
1,Drug,Phenomenon,104
1,PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,5
1,PopulationOfIndividualOrganisms,QuantityValue,320
1,PopulationOfIndividualOrganisms,ActivityAndBehavior,1169
1,PopulationOfIndividualOrganisms,Procedure,9751
1,PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,43
1,PopulationOfIndividualOrganisms,Phenomenon,3
1,PopulationOfIndividualOrganisms,QuantityValue,328
1,PopulationOfIndividualOrganisms,ActivityAndBehavior,1400
1,PopulationOfIndividualOrganisms,Procedure,12159
1,PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,51
1,PopulationOfIndividualOrganisms,Phenomenon,8
1,QuantityValue,QuantityValue,3922
1,QuantityValue,ActivityAndBehavior,17901
1,QuantityValue,Procedure,97220
1,QuantityValue,PopulationOfIndividualOrganisms,770
1,QuantityValue,Phenomenon,12
1,ActivityAndBehavior,ActivityAndBehavior,26658
1,ActivityAndBehavior,Procedure,275586
1,ActivityAndBehavior,PopulationOfIndividualOrganisms,2123
1,ActivityAndBehavior,Phenomenon,55
1,Procedure,Procedure,743843
1,Procedure,PopulationOfIndividualOrganisms,14001
1,Procedure,Phenomenon,68
1,PopulationOfIndividualOrganisms,Phenomenon,3
2,Disease,Disease,4558391
2,Disease,Device,51651
2,Disease,Drug,8384345
2,Disease,PopulationOfIndividualOrganisms,17135
2,Disease,PopulationOfIndividualOrganisms,20438
2,Disease,QuantityValue,282893
2,Disease,ActivityAndBehavior,725341
2,Disease,Procedure,5359461
2,Disease,PopulationOfIndividualOrganisms,29851
2,Disease,Phenomenon,134
2,Device,Device,588
2,Device,Drug,45589
2,Device,PopulationOfIndividualOrganisms,263
2,Device,PopulationOfIndividualOrganisms,343
2,Device,QuantityValue,1881
2,Device,ActivityAndBehavior,5672
2,Device,Procedure,35631
2,Device,PopulationOfIndividualOrganisms,316
2,Drug,Drug,4465396
2,Drug,PopulationOfIndividualOrganisms,16984
2,Drug,PopulationOfIndividualOrganisms,20558
2,Drug,QuantityValue,278313
2,Drug,ActivityAndBehavior,712097
2,Drug,Procedure,5223373
2,Drug,PopulationOfIndividualOrganisms,26680
2,Drug,Phenomenon,132
2,PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,8
2,PopulationOfIndividualOrganisms,QuantityValue,382
2,PopulationOfIndividualOrganisms,ActivityAndBehavior,1305
2,PopulationOfIndividualOrganisms,Procedure,13121
2,PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,44
2,PopulationOfIndividualOrganisms,Phenomenon,3
2,PopulationOfIndividualOrganisms,QuantityValue,407
2,PopulationOfIndividualOrganisms,ActivityAndBehavior,1613
2,PopulationOfIndividualOrganisms,Procedure,17049
2,PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,58
2,PopulationOfIndividualOrganisms,Phenomenon,8
2,QuantityValue,QuantityValue,5421
2,QuantityValue,ActivityAndBehavior,24619
2,QuantityValue,Procedure,174390
2,QuantityValue,PopulationOfIndividualOrganisms,901
2,QuantityValue,Phenomenon,15
2,ActivityAndBehavior,ActivityAndBehavior,34883
2,ActivityAndBehavior,Procedure,466832
2,ActivityAndBehavior,PopulationOfIndividualOrganisms,2383
2,ActivityAndBehavior,Phenomenon,57
2,Procedure,Procedure,1761248
2,Procedure,PopulationOfIndividualOrganisms,20606
2,Procedure,Phenomenon,89
2,PopulationOfIndividualOrganisms,Phenomenon,3
3,Disease,Disease,25019542
3,Disease,Drug,52919357
3,Disease,PopulationOfIndividualOrganisms,26537
3,Disease,PopulationOfIndividualOrganisms,29467
3,Disease,ActivityAndBehavior,17522
3,Disease,Procedure,37614371
3,Disease,PopulationOfIndividualOrganisms,60347
3,Drug,Drug,28703321
3,Drug,PopulationOfIndividualOrganisms,34652
3,Drug,PopulationOfIndividualOrganisms,40076
3,Drug,ActivityAndBehavior,21944
3,Drug,Procedure,38292427
3,Drug,PopulationOfIndividualOrganisms,64876
3,PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,5
3,PopulationOfIndividualOrganisms,ActivityAndBehavior,4
3,PopulationOfIndividualOrganisms,Procedure,29018
3,PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,43
3,PopulationOfIndividualOrganisms,ActivityAndBehavior,5
3,PopulationOfIndividualOrganisms,Procedure,34975
3,PopulationOfIndividualOrganisms,PopulationOfIndividualOrganisms,51
3,ActivityAndBehavior,Procedure,17838
3,Procedure,Procedure,14706638
3,Procedure,PopulationOfIndividualOrganisms,50305
